id;hosts;company
948698;Google CrashLytics;Crashlytics
948698;Google Play Services;Google
439703;Google Firebase Analytics;Firebase
439703;Google Play Services;Google
356161;Google AdMob;AdMob
356161;Google Firebase Analytics;Firebase
356161;Google Play Services;Google
990063;ChartBoost;Chartboost
990063;Google AdMob;AdMob
990063;Google CrashLytics;Crashlytics
990063;Google Firebase Analytics;Firebase
990063;Google Play Services;Google
990063;Moat;Moat
990063;Twitter MoPub;MoPub
962929;Google Firebase Analytics;Firebase
962929;Google Play Services;Google
962929;Microsoft Visual Studio App Center;App Center
167624;Google Firebase Analytics;Firebase
167624;Google Play Services;Google
167624;Microsoft Visual Studio App Center;App Center
990976;Google AdMob;AdMob
990976;Google Play Services;Google
837921;Google AdMob;AdMob
837921;Google Play Services;Google
837921;Unity3d Ads;Unity Technologies
892336;Microsoft Visual Studio App Center;App Center
565921;Google AdMob;AdMob
565921;Google Play Services;Google
565921;Unity3d Ads;Unity Technologies
651092;ChartBoost;Chartboost
651092;Google AdMob;AdMob
651092;Google Play Services;Google
548260;Google Play Services;Google
266324;Google Play Services;Google
266324;HockeyApp;Bit Stadium
270593;Google Play Services;Google
1456488;Facebook;Facebook
1456488;Google Analytics;Google Analytics
1456488;Google CrashLytics;Crashlytics
1456488;Google Firebase Analytics;Firebase
1456488;Google Play Services;Google
1456488;Google Tag Manager;Google Tag Manager
7119;Facebook;Facebook
7119;Google AdMob;AdMob
7119;Google Firebase Analytics;Firebase
7119;Google Play Services;Google
7119;Unity3d Ads;Unity Technologies
357014;Google AdMob;AdMob
357014;Google Firebase Analytics;Firebase
357014;Google Play Services;Google
79427;Google Analytics;Google Analytics
79427;Google CrashLytics;Crashlytics
79427;Google Firebase Analytics;Firebase
79427;Google Play Services;Google
49849;Google AdMob;AdMob
49849;Google Firebase Analytics;Firebase
49849;Google Play Services;Google
152006;Google Analytics;Google Analytics
152006;Google Play Services;Google
152006;Google Tag Manager;Google Tag Manager
854373;Google Firebase Analytics;Firebase
854373;Google Play Services;Google
770759;AppLovin (MAX and SparkLabs);AppLovin
770759;Facebook;Facebook
770759;Google AdMob;AdMob
770759;Google Firebase Analytics;Firebase
770759;Google Play Services;Google
770759;Moat;Moat
770759;Unity3d Ads;Unity Technologies
770759;ironSource;ironSource
