,permissions
PhotoLibraryUsage,58.0
CameraUsage,56.3
LocationWhenInUseUsage,47.7
LocationAlwaysUsage,31.4
PhotoLibraryAddUsage,27.4
MicrophoneUsage,26.2
CalendarsUsage,25.2
LocationAlwaysAndWhenInUseUsage,16.8
BluetoothPeripheralUsage,16.4
ContactsUsage,16.1
MotionUsage,8.0
LocationUsage,7.5
AppleMusicUsage,7.1
BluetoothAlwaysUsage,6.8
FaceIDUsage,6.1
RemindersUsage,4.3
SpeechRecognitionUsage,3.9
HealthShareUsage,1.5
HealthUpdateUsage,1.5
SiriUsage,1.3
