crawl,id,num_companies
Android,17,2
Android,234,2
Android,282,2
Android,483,4
Android,827,3
Android,854,3
Android,1035,1
Android,1040,1
Android,1136,3
Android,1225,2
Android,1256,1
Android,1321,2
Android,1383,14
Android,1407,3
Android,1571,13
Android,1575,10
Android,1716,4
Android,1801,2
Android,1958,2
Android,2069,1
Android,2087,1
Android,2247,2
Android,2293,2
Android,2332,7
Android,2488,1
Android,2517,3
Android,2530,7
Android,2719,7
Android,2750,2
Android,2756,5
Android,2809,4
Android,2860,3
Android,2906,1
Android,2955,3
Android,2957,1
Android,3026,1
Android,3198,1
Android,3223,1
Android,3279,2
Android,3342,1
Android,3504,20
Android,3575,2
Android,3576,11
Android,3844,1
Android,4185,14
Android,4192,5
Android,4449,3
Android,4545,2
Android,4716,3
Android,4815,3
Android,4845,4
Android,4873,1
Android,4887,2
Android,4895,1
Android,4967,2
Android,5013,1
Android,5384,4
Android,5434,7
Android,5519,4
Android,5624,9
Android,5626,6
Android,5689,2
Android,5746,7
Android,5761,16
Android,5764,5
Android,5886,2
Android,5941,2
Android,5983,1
Android,6043,5
Android,6051,2
Android,6162,1
Android,6356,2
Android,6388,2
Android,6527,5
Android,6618,13
Android,6866,2
Android,6960,1
Android,7006,2
Android,7052,3
Android,7081,15
Android,7087,3
Android,7119,5
Android,7137,1
Android,7235,2
Android,7369,2
Android,7535,3
Android,7571,1
Android,7732,1
Android,7794,2
Android,8070,9
Android,8095,5
Android,8107,2
Android,8111,2
Android,8168,5
Android,8192,2
Android,8674,1
Android,8757,1
Android,8849,2
Android,8962,3
Android,9082,1
Android,9199,4
Android,9331,8
Android,9351,11
Android,9396,6
Android,9408,9
Android,9636,2
Android,9672,1
Android,9778,2
Android,9991,1
Android,9992,1
Android,9996,1
Android,10013,1
Android,10178,2
Android,10233,11
Android,10241,11
Android,10242,5
Android,10355,2
Android,10531,1
Android,10598,1
Android,10665,16
Android,10684,1
Android,10731,2
Android,10760,1
Android,10776,16
Android,10821,17
Android,11016,15
Android,11295,1
Android,11307,4
Android,11344,1
Android,11430,1
Android,11477,1
Android,11626,2
Android,11658,3
Android,11681,1
Android,11688,1
Android,11833,1
Android,11847,2
Android,11885,3
Android,11996,3
Android,12054,3
Android,12111,13
Android,12125,3
Android,12154,7
Android,12218,2
Android,12339,2
Android,12389,5
Android,12444,2
Android,12490,11
Android,12540,10
Android,12544,12
Android,12551,1
Android,12574,6
Android,12590,3
Android,12592,7
Android,12594,2
Android,12636,1
Android,12640,2
Android,12654,16
Android,12670,5
Android,12712,1
Android,12731,1
Android,12771,1
Android,12801,1
Android,12892,2
Android,12952,3
Android,12960,8
Android,13103,1
Android,13154,3
Android,13369,7
Android,13375,2
Android,13424,3
Android,13509,3
Android,13520,6
Android,13526,2
Android,13633,11
Android,13686,3
Android,13698,1
Android,13714,2
Android,13738,3
Android,13839,6
Android,13927,2
Android,13982,4
Android,14051,4
Android,14084,5
Android,14109,3
Android,14144,3
Android,14204,4
Android,14236,2
Android,14258,2
Android,14398,1
Android,14638,2
Android,15129,4
Android,15260,5
Android,15493,1
Android,15591,3
Android,15609,3
Android,15716,3
Android,16142,2
Android,16375,12
Android,16659,15
Android,16706,7
Android,17126,1
Android,17146,3
Android,17238,8
Android,17346,2
Android,17679,1
Android,17772,1
Android,17785,6
Android,17808,7
Android,17879,4
Android,18003,3
Android,18015,5
Android,18016,9
Android,18050,7
Android,18068,3
Android,18083,2
Android,18117,4
Android,18118,7
Android,18152,5
Android,18192,2
Android,18246,1
Android,18248,5
Android,18269,13
Android,18328,1
Android,18341,4
Android,18342,15
Android,18361,1
Android,18365,1
Android,18391,1
Android,18422,4
Android,18440,2
Android,18472,1
Android,18488,3
Android,18554,1
Android,18574,1
Android,18586,1
Android,18605,2
Android,18626,1
Android,18634,2
Android,18810,2
Android,18838,4
Android,18935,2
Android,18968,4
Android,19088,1
Android,19164,6
Android,19210,3
Android,19347,2
Android,19348,3
Android,19407,1
Android,19562,2
Android,19566,8
Android,19582,3
Android,19606,7
Android,19650,9
Android,19834,1
Android,19890,1
Android,20086,16
Android,20091,4
Android,20133,1
Android,20134,2
Android,20144,5
Android,20146,1
Android,20495,1
Android,20632,2
Android,20730,2
Android,20739,2
Android,20754,3
Android,20789,1
Android,20797,5
Android,20813,1
Android,20831,1
Android,20854,3
Android,20856,6
Android,20880,1
Android,20899,2
Android,20976,4
Android,21104,6
Android,21130,3
Android,21133,2
Android,21162,5
Android,21166,6
Android,21173,2
Android,21184,1
Android,21218,2
Android,21220,4
Android,21226,2
Android,21235,1
Android,21246,1
Android,21277,2
Android,21412,2
Android,21458,11
Android,21482,1
Android,21525,12
Android,21536,4
Android,21568,8
Android,21594,3
Android,21749,4
Android,21760,2
Android,21763,1
Android,21772,4
Android,21794,1
Android,21800,2
Android,21804,3
Android,21903,1
Android,22028,3
Android,22036,12
Android,22136,3
Android,22305,13
Android,22309,1
Android,22314,5
Android,22419,3
Android,22427,5
Android,22534,4
Android,22630,3
Android,22632,19
Android,22699,6
Android,22706,2
Android,22726,8
Android,22754,9
Android,22799,1
Android,22816,6
Android,22848,8
Android,22882,4
Android,22899,2
Android,22909,1
Android,22912,1
Android,22919,18
Android,22968,6
Android,22977,6
Android,23035,6
Android,23101,2
Android,23140,7
Android,23199,5
Android,23207,12
Android,23274,6
Android,23300,6
Android,23336,2
Android,23468,8
Android,23504,2
Android,23557,5
Android,23624,13
Android,23631,4
Android,23632,6
Android,23690,9
Android,23706,3
Android,23779,16
Android,23781,1
Android,23814,3
Android,23876,1
Android,23896,11
Android,23927,9
Android,23931,4
Android,23933,3
Android,23935,2
Android,23989,1
Android,24046,2
Android,24063,2
Android,24084,11
Android,24108,3
Android,24168,4
Android,24298,6
Android,24309,5
Android,24318,5
Android,24323,1
Android,24383,9
Android,24461,13
Android,24530,1
Android,24589,15
Android,24594,18
Android,24619,3
Android,24882,5
Android,24902,1
Android,24907,1
Android,24933,1
Android,24995,6
Android,25001,1
Android,25142,2
Android,25252,1
Android,25265,3
Android,25269,2
Android,25289,1
Android,25297,2
Android,25318,2
Android,25320,2
Android,25353,3
Android,25470,1
Android,25504,3
Android,25513,7
Android,25577,1
Android,25592,1
Android,25626,5
Android,25650,9
Android,25678,5
Android,25701,2
Android,25775,6
Android,25914,2
Android,25962,2
Android,26026,3
Android,26084,14
Android,26211,1
Android,26218,2
Android,26230,1
Android,26233,1
Android,26264,2
Android,26317,2
Android,26319,1
Android,26333,1
Android,26402,5
Android,26439,17
Android,26627,1
Android,26642,1
Android,26692,6
Android,26696,3
Android,26700,10
Android,26737,4
Android,26776,2
Android,26791,1
Android,26792,2
Android,26837,1
Android,26895,9
Android,26919,1
Android,27100,2
Android,27127,14
Android,27179,3
Android,27180,7
Android,27181,7
Android,27410,5
Android,27459,4
Android,27550,2
Android,27612,2
Android,27631,2
Android,27703,14
Android,27778,1
Android,27841,3
Android,27881,1
Android,27923,1
Android,28008,4
Android,28018,3
Android,28034,7
Android,28093,3
Android,28265,2
Android,28444,1
Android,28683,5
Android,28698,2
Android,28736,1
Android,28742,1
Android,28752,5
Android,28761,5
Android,28790,3
Android,28928,18
Android,28957,3
Android,28971,10
Android,29029,3
Android,29062,3
Android,29306,1
Android,29346,2
Android,29347,11
Android,29378,7
Android,29383,2
Android,29400,8
Android,29413,2
Android,29444,7
Android,29753,8
Android,29786,2
Android,29858,6
Android,29862,2
Android,29893,2
Android,30112,8
Android,30150,1
Android,30223,4
Android,30441,1
Android,30468,4
Android,30494,10
Android,30512,8
Android,30636,2
Android,30731,1
Android,30879,2
Android,30998,4
Android,31186,8
Android,31318,6
Android,31334,2
Android,31767,4
Android,31775,5
Android,31799,5
Android,32026,1
Android,32372,1
Android,32572,1
Android,32671,10
Android,32693,4
Android,32733,1
Android,32751,2
Android,32752,1
Android,32788,1
Android,33019,1
Android,33039,3
Android,33322,1
Android,33325,2
Android,33501,13
Android,33517,2
Android,33579,3
Android,33634,1
Android,33651,1
Android,33836,1
Android,34288,2
Android,34377,7
Android,34507,3
Android,34810,7
Android,34916,7
Android,35081,17
Android,35569,3
Android,35574,1
Android,35633,2
Android,35855,7
Android,35857,1
Android,36034,1
Android,36048,1
Android,36098,3
Android,36107,14
Android,36108,2
Android,36122,7
Android,36142,2
Android,36451,4
Android,36710,9
Android,36743,4
Android,36772,2
Android,36800,4
Android,36914,2
Android,36917,4
Android,36965,3
Android,36984,9
Android,37046,15
Android,37083,5
Android,37267,6
Android,37293,18
Android,37324,3
Android,37326,3
Android,37345,3
Android,37357,3
Android,37386,4
Android,37395,7
Android,37401,1
Android,37414,1
Android,37483,6
Android,37637,2
Android,37700,6
Android,37714,1
Android,37774,6
Android,37796,4
Android,37843,12
Android,37866,2
Android,37934,1
Android,37955,5
Android,37996,3
Android,38025,1
Android,38174,4
Android,38271,3
Android,38400,17
Android,38511,1
Android,38593,20
Android,38661,3
Android,38824,3
Android,39120,4
Android,39198,8
Android,39204,8
Android,39214,8
Android,39241,8
Android,39254,2
Android,39281,1
Android,39303,5
Android,39311,8
Android,39441,1
Android,39485,3
Android,39507,2
Android,39549,1
Android,39561,2
Android,39657,12
Android,39764,5
Android,39802,5
Android,39842,1
Android,39877,1
Android,39927,1
Android,40040,1
Android,40073,1
Android,40181,3
Android,40240,2
Android,40259,3
Android,40326,2
Android,40327,10
Android,40384,1
Android,40452,3
Android,40650,8
Android,40724,2
Android,40725,1
Android,40783,1
Android,40911,1
Android,40987,1
Android,41810,5
Android,42190,12
Android,42192,10
Android,42310,2
Android,42333,6
Android,42535,2
Android,42550,14
Android,42561,1
Android,42617,17
Android,42635,7
Android,42832,2
Android,42944,1
Android,43500,4
Android,43743,2
Android,44256,6
Android,44274,2
Android,44276,8
Android,44341,1
Android,44365,1
Android,44408,3
Android,44439,4
Android,44457,2
Android,44507,1
Android,44544,1
Android,44868,1
Android,44899,1
Android,45081,3
Android,45087,1
Android,45396,2
Android,45606,2
Android,45619,2
Android,45833,1
Android,46225,1
Android,46298,1
Android,46461,1
Android,46549,1
Android,46553,1
Android,46558,2
Android,46575,3
Android,46605,1
Android,46772,15
Android,46801,4
Android,46809,4
Android,46824,4
Android,46896,2
Android,46912,1
Android,47028,1
Android,47029,1
Android,47059,2
Android,47065,1
Android,47291,2
Android,47406,1
Android,47442,1
Android,47467,2
Android,47479,1
Android,47485,2
Android,47504,3
Android,47520,6
Android,47541,10
Android,47566,17
Android,47577,1
Android,47606,3
Android,47616,2
Android,47687,3
Android,47706,2
Android,47765,5
Android,47791,3
Android,47795,1
Android,47806,1
Android,47810,1
Android,47828,4
Android,47896,8
Android,47944,4
Android,47975,2
Android,47977,3
Android,47985,4
Android,48216,1
Android,48349,2
Android,48364,3
Android,48398,2
Android,48417,1
Android,48422,3
Android,48446,4
Android,48504,2
Android,48506,2
Android,48565,2
Android,48664,1
Android,48824,2
Android,48852,2
Android,48861,1
Android,48895,3
Android,48918,3
Android,48941,1
Android,48949,3
Android,48962,1
Android,48983,4
Android,48985,3
Android,48995,3
Android,49085,2
Android,49140,2
Android,49148,1
Android,49151,3
Android,49172,6
Android,49229,2
Android,49238,14
Android,49272,16
Android,49298,1
Android,49342,1
Android,49404,15
Android,49446,1
Android,49458,3
Android,49535,2
Android,49696,1
Android,49706,5
Android,49708,1
Android,49727,2
Android,49732,2
Android,49766,1
Android,49786,1
Android,49849,1
Android,49879,1
Android,49883,2
Android,49885,7
Android,49932,2
Android,49963,5
Android,49966,1
Android,49977,1
Android,49998,2
Android,50021,4
Android,50041,2
Android,50147,2
Android,50184,1
Android,50228,1
Android,50253,4
Android,50274,1
Android,50285,2
Android,50464,1
Android,50466,18
Android,50477,2
Android,50492,1
Android,50498,2
Android,50503,2
Android,50562,2
Android,50573,1
Android,50598,1
Android,50645,3
Android,50679,2
Android,50685,2
Android,50739,3
Android,50761,1
Android,50770,1
Android,50776,3
Android,50917,2
Android,50979,6
Android,51064,4
Android,51068,1
Android,51078,2
Android,51127,1
Android,51140,1
Android,51164,3
Android,51257,6
Android,51328,1
Android,51344,2
Android,51470,1
Android,51504,1
Android,51517,3
Android,51519,1
Android,51620,2
Android,51676,2
Android,51683,2
Android,51706,1
Android,51726,4
Android,51732,1
Android,51759,1
Android,51850,1
Android,52265,3
Android,52475,2
Android,52529,1
Android,52681,1
Android,52701,5
Android,52708,1
Android,52916,2
Android,53194,3
Android,53197,1
Android,53209,1
Android,53419,6
Android,53430,3
Android,53464,2
Android,53475,2
Android,53484,1
Android,53501,1
Android,53731,1
Android,53776,1
Android,53784,1
Android,53804,1
Android,53960,12
Android,54131,2
Android,54134,1
Android,54148,5
Android,54372,3
Android,54383,2
Android,54415,4
Android,54696,1
Android,54819,5
Android,55382,2
Android,55506,2
Android,55855,4
Android,55861,12
Android,55892,2
Android,55909,1
Android,55940,2
Android,56049,16
Android,56084,2
Android,56133,2
Android,56153,3
Android,56446,1
Android,56697,1
Android,56754,1
Android,56822,7
Android,57218,2
Android,57365,1
Android,57402,11
Android,57582,5
Android,57742,3
Android,57768,1
Android,58027,4
Android,58064,1
Android,58092,1
Android,58353,1
Android,58522,1
Android,58607,9
Android,59314,7
Android,59861,5
Android,60050,2
Android,60120,12
Android,60283,1
Android,60291,2
Android,60302,14
Android,60322,3
Android,60422,1
Android,60447,5
Android,60460,1
Android,60524,18
Android,60719,2
Android,60720,4
Android,60839,1
Android,61212,2
Android,61266,2
Android,61436,1
Android,62038,3
Android,62196,1
Android,62230,1
Android,62234,1
Android,62245,3
Android,62400,3
Android,62752,2
Android,62826,1
Android,62870,5
Android,62975,6
Android,63055,3
Android,63058,1
Android,63091,8
Android,63096,12
Android,63097,8
Android,63154,17
Android,63359,1
Android,63382,2
Android,63395,6
Android,63501,5
Android,63502,3
Android,63514,1
Android,63579,1
Android,63616,1
Android,63623,1
Android,63627,1
Android,63640,1
Android,63667,1
Android,63710,2
Android,63760,2
Android,63777,1
Android,63781,2
Android,63849,1
Android,64016,5
Android,64028,1
Android,64031,2
Android,64033,3
Android,64204,2
Android,64209,2
Android,64286,12
Android,64307,1
Android,64328,2
Android,64462,6
Android,64494,2
Android,64512,15
Android,64521,4
Android,64636,2
Android,64772,4
Android,64830,4
Android,64831,1
Android,64910,3
Android,65332,3
Android,65526,2
Android,65674,1
Android,65832,2
Android,65953,1
Android,66218,5
Android,66224,1
Android,66316,1
Android,66379,1
Android,66417,1
Android,66439,1
Android,66538,3
Android,66665,1
Android,66700,1
Android,66713,1
Android,66922,2
Android,66947,2
Android,66967,1
Android,67026,1
Android,67162,1
Android,67520,4
Android,67550,5
Android,67613,1
Android,67615,1
Android,67634,5
Android,67729,3
Android,67737,1
Android,67832,1
Android,67917,5
Android,67967,16
Android,67973,17
Android,67998,1
Android,68082,2
Android,68104,1
Android,68142,2
Android,68143,1
Android,68160,3
Android,68174,2
Android,68358,3
Android,68378,1
Android,68413,3
Android,68446,12
Android,68541,2
Android,69055,2
Android,69061,2
Android,69086,13
Android,69206,1
Android,69233,1
Android,69249,1
Android,69283,2
Android,69295,2
Android,69374,3
Android,69706,1
Android,69742,1
Android,69761,1
Android,69799,1
Android,70286,1
Android,70300,1
Android,70651,8
Android,70669,1
Android,70677,2
Android,70751,1
Android,71512,1
Android,71576,2
Android,71582,2
Android,71904,2
Android,71943,5
Android,71949,3
Android,71952,4
Android,72010,1
Android,72143,1
Android,72295,1
Android,72307,2
Android,72317,17
Android,72330,3
Android,72441,2
Android,72519,1
Android,72548,2
Android,72568,1
Android,72621,1
Android,72674,2
Android,72727,1
Android,72732,2
Android,72857,2
Android,72943,1
Android,72944,1
Android,73006,3
Android,73015,1
Android,73024,1
Android,73058,4
Android,73060,1
Android,73085,1
Android,73108,1
Android,73169,2
Android,73230,4
Android,73318,2
Android,73385,1
Android,73436,3
Android,73577,2
Android,73764,1
Android,73983,1
Android,74002,2
Android,75374,1
Android,75406,16
Android,75489,1
Android,76093,2
Android,76498,1
Android,77106,2
Android,77250,2
Android,77542,4
Android,77545,1
Android,77594,4
Android,77609,7
Android,78105,1
Android,78252,1
Android,78275,3
Android,78311,1
Android,78381,1
Android,78440,1
Android,78489,5
Android,78516,1
Android,78569,1
Android,78581,1
Android,78612,4
Android,78650,1
Android,78730,1
Android,78871,1
Android,78916,1
Android,78930,2
Android,78946,1
Android,78967,2
Android,78974,1
Android,79003,2
Android,79010,1
Android,79028,14
Android,79077,1
Android,79085,2
Android,79167,1
Android,79192,1
Android,79201,3
Android,79309,1
Android,79422,1
Android,79427,1
Android,79432,2
Android,79473,1
Android,79554,2
Android,79622,1
Android,79766,1
Android,79908,12
Android,80091,1
Android,80318,1
Android,80375,2
Android,80546,3
Android,80823,1
Android,81302,3
Android,81516,1
Android,81706,2
Android,81908,1
Android,81926,1
Android,81954,2
Android,81989,4
Android,82681,1
Android,82728,1
Android,82777,1
Android,82817,2
Android,82866,2
Android,82923,3
Android,83023,1
Android,83171,4
Android,83309,4
Android,83445,1
Android,83458,1
Android,83549,1
Android,83566,2
Android,83692,3
Android,83696,4
Android,83736,1
Android,83808,1
Android,83893,1
Android,83922,1
Android,83924,1
Android,83946,8
Android,83954,9
Android,84016,4
Android,84078,1
Android,84122,8
Android,84135,8
Android,84201,8
Android,84263,8
Android,84271,2
Android,84287,8
Android,84317,6
Android,84349,1
Android,84364,2
Android,84377,4
Android,84402,1
Android,84427,2
Android,84459,1
Android,84485,18
Android,84519,1
Android,84528,1
Android,84537,2
Android,84593,3
Android,84615,1
Android,84636,13
Android,84647,1
Android,84682,2
Android,84689,2
Android,84695,1
Android,84707,1
Android,84714,2
Android,84855,4
Android,84862,2
Android,84873,4
Android,84926,1
Android,85002,1
Android,85042,4
Android,85063,3
Android,85147,7
Android,85160,11
Android,85169,2
Android,85182,2
Android,85192,4
Android,85194,14
Android,85238,1
Android,85247,2
Android,85409,2
Android,85410,1
Android,85474,2
Android,85533,5
Android,85667,5
Android,85683,4
Android,85777,12
Android,85819,12
Android,85840,6
Android,85857,1
Android,85903,11
Android,85938,1
Android,85981,1
Android,86029,2
Android,86148,12
Android,86156,7
Android,86292,2
Android,86364,1
Android,86371,2
Android,86499,1
Android,86521,1
Android,86530,4
Android,86642,7
Android,86661,2
Android,86692,5
Android,86754,1
Android,86790,2
Android,86879,2
Android,86936,1
Android,86938,1
Android,86972,1
Android,86985,2
Android,87185,1
Android,87193,3
Android,87286,7
Android,87356,2
Android,87383,1
Android,87412,1
Android,87450,1
Android,87466,2
Android,87496,1
Android,87519,1
Android,87563,1
Android,87583,9
Android,87659,3
Android,87699,4
Android,87706,6
Android,87725,5
Android,87746,6
Android,87786,2
Android,87835,1
Android,87866,2
Android,87926,2
Android,87944,1
Android,87975,1
Android,88037,1
Android,88098,2
Android,88143,1
Android,88170,1
Android,88172,1
Android,88180,1
Android,88193,2
Android,88197,1
Android,88227,1
Android,88247,1
Android,88275,3
Android,88301,2
Android,88336,2
Android,88374,1
Android,88387,1
Android,88408,2
Android,88423,2
Android,88468,1
Android,88478,1
Android,88523,2
Android,88581,3
Android,88603,1
Android,88623,2
Android,88664,2
Android,88670,3
Android,88676,2
Android,88765,1
Android,88840,1
Android,88907,6
Android,89020,1
Android,89088,1
Android,89115,2
Android,89215,3
Android,89216,1
Android,89274,2
Android,89358,1
Android,89479,1
Android,89554,1
Android,89591,3
Android,89696,2
Android,89699,2
Android,89707,3
Android,89710,13
Android,89766,1
Android,89767,1
Android,89850,1
